0000000	Il Mito	252 249 024 125 076 205 053 166
0000001	Bob Burns	249 136 196 155 009 078 208 056 170
0000002	Caffe Luna	252 086 249 248 251 149 063 197 004 156 125 075 204 053 164
0000003	Asahi Ramen	252 249 248 251 149 128 151 076 205 051 162
0000004	Delmonico's Seafood Grille	076 205 053 166
0000005	Marouch	252 136 248 251 197 001 001 143 076 205 051 164
0000006	DC3	099 249 175 192 005 031 075 205 054 167
0000007	A Thousand Cranes	192 146 040 071 025 128 076 206 054 167
0000008	Fresco Ristorante	252 099 200 192 071 024 125 078 208 056 170
0000009	Cobalt Cantina	086 249 248 251 149 192 242 132 215 031 075 205 053 165
0000010	Orleans	252 086 249 192 084 087 254 030 047 076 205 053 166
0000011	Orso	252 249 248 251 189 063 215 125 076 205 054 166
0000012	Sweet Lady Jane	252 248 251 084 087 254 156 177 076 205 052 163
0000013	Casablanca	100 252 249 248 251 155 071 142 234 075 205 053 164
0000014	Bellini's Trattoria	252 249 125 075 205 053 164
0000015	Beaurivage	252 249 198 200 192 063 155 031 094 140 076 206 054 167
0000016	Benita's Frites	252 086 249 248 251 197 155 018 081 076 204 050 162
0000017	The Gumbo Pot	249 248 251 197 001 030 047 076 204 051 162
0000018	Al Amir	252 071 057 143 076 206 054 165
0000019	Misto Caffe	100 252 249 248 251 149 155 025 025 031 076 205 052 164
0000020	Art's Deli	252 249 198 248 251 149 058 075 205 051 163
0000021	Paradise	100 252 249 031 075 205 053 164
0000022	Mario's Cooking for Friends	252 249 248 251 181 001 229 125 076 205 053 165
0000023	442	099 249 200 196 242 243 112 076 205 053 165
0000024	La Scala	252 248 251 125 075 205 053 166
0000025	Cafe Caper	080 252 136 192 190 092 019 076 206 053 165
0000026	Jake & Annie's	100 252 086 249 248 251 155 242 215 005 075 205 053 165
0000027	Houston's	026 252 178 249 248 251 149 114 009 017 075 205 053 164
0000028	The Monkey Bar	252 086 242 132 004 215 025 031 075 204 053 167
0000029	Antonio's	252 249 248 251 192 071 001 229 138 142 234 075 205 052 164
0000030	Hamlet Gardens	252 249 248 251 192 132 071 215 009 075 205 053 165
0000031	Thailand Plaza	249 248 251 197 242 235 078 208 056 170
0000032	Pico Kosher Deli	252 249 136 198 149 058 131 076 204 051 163
0000033	CITY RESTAURANT	100 080 252 249 248 251 181 114 084 087 254 215 171 076 205 053 166
0000034	Tung Lai Shun	252 136 149 192 039 076 205 052 164
0000035	Crazy Fish	249 242 128 078 208 056 170
0000036	A Votre Sante	248 251 149 197 155 114 156 215 243 112 075 205 052 163
0000037	Cafe Med	249 248 251 242 156 125 078 208 056 170
0000038	Pane e Vino	252 249 248 251 189 102 063 114 024 215 125 075 205 053 166
0000039	I Cugini	100 080 252 249 248 251 155 114 024 215 125 075 205 054 166
0000040	Il Forno	252 001 125 076 205 052 165
0000041	Osteria Romana Orsini	192 189 229 125 075 205 053 166
0000042	Opus	080 252 249 175 196 063 024 094 076 206 054 168
0000043	Gaylord	252 249 248 251 192 229 117 075 205 053 166
0000044	HARRY'S BAR	229 125 075 205 053 166
0000045	La Paz	252 249 248 251 192 071 142 234 075 205 052 164
0000046	Rckenroll	100 249 248 251 181 242 156 005 076 204 051 162
0000047	Marix Tex Mex Norte	100 252 178 249 248 251 192 071 215 138 142 234 075 204 052 164
0000048	Thai Ranch	252 249 136 149 235 076 205 052 164
0000049	Columbia Bar & Grill	252 249 248 251 192 190 181 063 132 024 215 005 075 205 053 166
0000050	Il Cielo	175 248 251 200 192 063 071 125 075 206 054 167
0000051	La Parrilla	100 252 249 248 251 142 234 075 205 052 164
0000052	Reed's	249 242 031 078 208 056 170
0000053	Lunaria	080 252 249 192 181 215 092 019 075 205 054 167
0000054	Ciao Trattoria	252 249 136 242 125 075 205 054 165
0000055	La Serenata De Garibaldi	001 076 205 052 165
0000056	Gardel's	252 197 012 034 038 218 125 075 205 053 165
0000057	Managua	249 248 251 192 063 071 034 038 218 147 074 204 051 164
0000058	Louis XIV	252 192 215 092 019 074 204 053 165
0000059	Kate Mantilini	100 252 086 249 248 251 149 192 004 156 215 005 075 204 053 165
0000060	Pane Caldo	026 252 249 248 251 192 063 125 075 205 053 165
0000061	Inn of the Seventh Ray	075 205 054 165
0000062	El Cholo	100 252 249 248 251 192 114 010 071 215 138 229 142 234 075 205 053 164
0000063	One Pico	249 248 251 200 155 242 040 031 078 208 056 170
0000064	Mario's Peruvian	252 249 136 248 251 149 156 034 038 218 180 076 204 051 163
0000065	OCEAN AVE. SEAFOOD	100 080 252 086 249 248 251 063 132 114 215 212 076 205 053 166
0000066	Il Piccolino	252 249 248 251 149 071 125 075 205 052 165
0000067	Cafe Santorini	249 248 251 242 114 140 078 208 056 170
0000068	Pastina	242 025 125 075 205 052 165
0000069	Les Freres Taix	100 080 252 249 198 248 251 192 190 197 010 092 019 074 205 052 164
0000070	Kachina Grill	248 251 192 190 063 024 215 222 075 205 053 164
0000071	Shenandoah Cafe	100 252 249 136 192 009 076 206 053 165
0000072	Caioti	086 249 248 251 197 031 183 075 205 052 164
0000073	Moustache Cafe	252 086 249 248 251 192 215 092 019 075 205 052 165
0000074	Cha Cha Cha	100 252 086 249 248 251 192 197 114 156 025 034 038 218 075 205 053 165
0000075	Dragon Regency	011 252 136 248 251 039 076 205 052 164
0000076	Schatzi on Main	252 178 249 248 251 155 156 005 031 074 205 053 166
0000077	Figs	249 149 192 031 075 205 052 164
0000078	Katsu 3rd	252 197 128 076 205 053 166
0000079	Mr. Chow	252 249 192 229 001 039 076 205 054 167
0000080	The Reel Inn	252 249 248 251 149 063 212 075 204 052 164
0000081	Cafe Pierre	011 080 252 249 155 045 068 092 019 140 076 206 053 166
0000082	La Frite	252 249 248 251 192 092 019 075 205 052 164
0000083	LOCANDA VENETA	175 200 189 114 001 125 077 206 053 167
0000084	SHIRO	252 249 171 077 206 052 167
0000085	Carrots	252 099 249 197 025 031 171 076 205 051 167
0000086	Mi Piace	252 249 248 251 149 063 132 114 084 087 254 125 075 205 053 165
0000087	Farfalla on La Brea	252 086 249 248 251 149 192 102 063 132 114 215 025 125 183 075 205 053 165
0000088	Typhoon	100 252 086 197 014 075 205 053 165
0000089	Hollywood Hot Dog Co.	249 081 115 075 205 052 162
0000090	Cafe Maurice	249 102 197 215 092 019 075 204 053 164
0000091	Berty's	252 196 031 094 076 206 053 166
0000092	Bellapasta	252 149 125 075 205 053 164
0000093	Hal's	249 248 251 155 132 031 075 205 053 166
0000094	Du-par's	100 252 178 086 249 248 251 004 084 087 254 156 229 042 061 074 204 051 163
0000095	Peppone	080 252 249 198 229 125 076 205 053 167
0000096	McCormick & Schmick's - LA	249 192 132 024 215 212 075 205 054 166
0000097	Nicola's Kitchen	249 125 078 208 056 170
0000098	Milky Way	252 249 131 074 205 052 165
0000099	The Original Pantry Bakery & Sandwich Shop	252 249 248 251 149 192 156 009 005 075 205 052 163
0000100	The Raymond	252 113 249 175 196 071 009 005 045 076 206 054 167
0000101	Osteria Nonni	252 249 197 125 075 205 052 164
0000102	Koutoubia	249 136 071 144 076 206 053 166
0000103	Les Pyrenees	252 249 192 093 075 206 053 167
0000104	Jitlada	252 249 248 251 192 001 235 076 205 052 164
0000105	Chaco	252 248 251 242 128 075 205 053 165
0000106	THE PALM	252 249 175 189 102 114 215 009 076 205 053 168
0000107	Cafe '50s	100 252 178 249 248 251 149 156 042 061 107 074 204 053 162
0000108	CAMPANILE	080 252 099 249 175 192 181 102 114 084 087 254 156 031 140 076 206 054 167
0000109	Caffe Latte	252 086 249 248 251 149 197 027 156 215 031 075 205 052 163
0000110	Piazza Rodeo	252 249 248 251 149 063 156 125 074 205 053 165
0000111	La Scala Presto	252 248 251 149 125 075 205 052 164
0000112	L'Escoffier	175 200 196 192 146 040 071 057 094 076 206 054 168
0000113	Hungarian Budapest	252 249 001 116 075 205 052 165
0000114	Primi	080 252 192 125 076 205 053 167
0000115	Cafe del Rey	100 080 252 099 249 248 251 063 155 132 071 025 171 076 206 054 166
0000116	Emporio Armani Express	125 075 205 054 165
0000117	TALESAI	252 235 076 205 053 166
0000118	L.A. Farm	252 099 192 063 024 031 075 205 053 166
0000119	Nate 'n Al's	252 249 198 248 251 149 189 102 058 076 205 052 164
0000120	Riva	100 136 063 155 040 071 031 076 205 053 167
0000121	Gladstone's Universal CityWalk	100 249 248 251 149 192 063 242 114 212 074 204 053 165
