0000000	Natalino	125 075 205 052 167
0000001	Indian Cafe	117 075 205 052 164
0000002	Manhattan Plaza Cafe	100 086 250 196 191 192 063 111 059 231 224 005 008 075 205 053 165
0000003	The Stanhope	113 196 193 040 097 224 045 091 075 206 054 168
0000004	Chez Napoleon	193 092 075 205 052 167
0000005	Au Mandarin	191 192 063 039 075 205 053 166
0000006	Palm Court, The                       	100 198 010 040 057 071 043 141 008 045 076 205 052 168
0000007	SUSHISAY	099 198 083 128 077 205 053 167
0000008	Brasserie	196 193 190 004 132 040 153 156 042 091 092 075 205 052 166
0000009	Popover Cafe	100 250 111 059 231 156 008 042 068 075 204 052 164
0000010	107 West	075 204 052 165
0000011	Le Train Bleu	083 005 045 091 074 205 053 166
0000012	Bridge Cafe	194 193 010 059 231 005 076 205 053 167
0000013	Indian Oven	229 117 074 204 052 165
0000014	Solera	253 198 193 223 076 206 054 168
0000015	Automatic Slim's	074 204 052 165
0000016	Freddie & Pepper Pizza	100 086 004 132 182 075 204 050 162
0000017	LUTECE	080 099 198 196 193 189 191 192 097 091 077 206 054 169
0000018	Nanni Il Valletto	125 076 205 053 168
0000019	Mezzogiorno	253 063 125 075 204 053 167
0000020	Nicola Paone	080 125 075 205 053 168
0000021	El Rincon de Espa$a	057 071 223 075 205 052 166
0000022	Rafaella Ristorante	078 208 056 170
0000023	Fishin Eddie	250 125 212 075 205 053 167
0000024	Lou G. Siegel	178 129 074 204 051 167
0000025	Morton's of Chicago	137 253 198 196 242 225 078 208 056 170
0000026	Jezebel	214 250 197 220 217 075 205 054 167
0000027	Yellow Rose Cafe	178 007 142 234 220 217 222 074 204 052 165
0000028	Oceana	193 212 076 206 054 169
0000029	Grove Street Cafe	075 205 053 166
0000030	Due	250 063 004 132 224 125 075 205 052 167
0000031	Neary's	253 083 008 120 225 074 205 052 166
0000032	El Charro	004 132 223 075 205 052 166
0000033	Manila	057 071 082 075 205 053 166
0000034	Marnie's Noodle Shop	083 039 075 204 051 163
0000035	Garden Cafe	136 005 076 206 053 166
0000036	Brasserie des Theatres	075 205 053 167
0000037	Bendix Diner	178 193 156 042 061 068 074 204 052 163
0000038	Mad.61	253 198 196 242 114 083 059 231 043 005 068 078 208 056 170
0000039	Harriet's Kitchen	007 017 220 217 074 204 050 163
0000040	Cal's	253 068 075 205 053 167
0000041	La Bouillabaisse	092 078 208 056 170
0000042	Nadine's	004 132 025 068 075 205 053 165
0000043	Sal Anthony's	125 075 205 053 167
0000044	San Domenico	080 198 097 141 125 076 206 054 169
0000045	LA GRENOUILLE	099 198 200 196 193 189 102 191 192 114 097 091 077 207 055 169
0000046	LE CHANTILLY	099 250 198 196 193 114 091 076 206 054 169
0000047	Wolf's 6th Avenue Delicatessen	074 204 051 164
0000048	Mo's Caribbean Bar & Grille	184 193 191 192 242 004 132 057 071 034 078 208 056 170
0000049	Cafe	026 113 063 092 075 205 053 167
0000050	Orleans	250 198 242 007 030 047 220 217 075 205 053 165
0000051	Bellini by Cipriani	193 040 125 076 205 053 168
0000052	Orso	250 190 125 076 205 053 167
0000053	Columbia Cottage	039 074 204 051 163
0000054	Hulot's	229 092 075 205 053 167
0000055	Cucina di Pesce	086 063 004 132 125 212 075 204 052 164
0000056	Ryoyu	198 242 128 078 208 056 170
0000057	Court of Three Sisters	076 205 053 168
0000058	Violeta's Mexican Restaurant	142 234 078 208 056 170
0000059	Walker's	250 184 194 010 004 132 057 071 229 008 074 205 053 164
0000060	La Tour d'Or	196 193 197 091 078 208 056 170
0000061	Souen	025 246 074 204 052 164
